Time, Angry, Disgust, Scared, Happy, Sad, Surprised, Neutral
00:00:37, 3.52%, 0.08%, 30.50%, 14.31%, 19.36%, 6.71%, 25.53%
00:00:38, 4.32%, 0.10%, 33.47%, 12.84%, 17.23%, 7.44%, 24.61%
00:00:41, 13.03%, 0.01%, 19.80%, 31.67%, 10.01%, 6.12%, 19.35%
00:00:42, 8.94%, 0.02%, 30.09%, 20.52%, 15.31%, 10.98%, 14.13%
00:00:42, 16.55%, 0.03%, 17.38%, 26.34%, 6.30%, 7.33%, 26.07%
00:00:43, 11.43%, 0.03%, 18.91%, 29.69%, 9.39%, 8.09%, 22.47%
00:00:43, 10.37%, 0.02%, 20.89%, 27.33%, 10.02%, 11.42%, 19.95%
00:00:44, 12.74%, 0.04%, 18.01%, 24.34%, 8.86%, 7.52%, 28.50%
00:00:44, 12.63%, 0.02%, 17.93%, 26.60%, 8.65%, 7.75%, 26.42%
